Categorias de assuntos	Assunto
(SUP) ERP	(SUP) ERP NF-e - Erro timeout de conexão
(SUP) ERP	(SUP) ERP NF-e - Timed out - Servidor de NF-e de off-line
(SUP) ERP	(SUP) ERP NF-e - Nota autorizada sem receber retorno de autorização
(SUP) ERP	(SUP) ERP NF-e - O valor do elemento 'refNFe' não é válido
(SUP) ERP	(SUP) ERP NF-e - O valor do elemento 'qLote' não é válido
(SUP) ERP	(SUP) ERP NF-e - Não foi possível carregar certificado digital
(SUP) ERP	(SUP) ERP NF-e - Field 'id_saida' doesn't have a default value
(SUP) ERP	(SUP) ERP NF-e - Table 'lc_sistemas.nfeorigcomb' doesn't exist
(SUP) ERP	(SUP) ERP NF-e - Erro - Pasta de armazenamento de XML não encontrada
(SUP) ERP	(SUP) ERP NF-e - Erro - No enum constant br.inf.portalfiscal.nfe.TUf.
(SUP) ERP	(SUP) ERP NF-e - The system cannot infer the transport information from the url
(SUP) ERP	(SUP) ERP NF-e - Configuração
(SUP) ERP	(SUP) ERP NF-e - Certificado vencido
(SUP) ERP	(SUP) ERP NF-e - End. Destinatário incompleto
(SUP) ERP	(SUP) ERP NF-e - End. Emitente incompleto
(SUP) ERP	(SUP) ERP NF-e - ICMS interestadual e Percentual da Partilha
(SUP) ERP	(SUP) ERP NF-e - Forbbiden
(SUP) ERP	(SUP) ERP NF-e - CCe - UTF8 caracteres especiais
(SUP) ERP	(SUP) ERP NFC-e - outro
(SUP) ERP	(SUP) ERP NFC-e -  Instabilidade na SEFAZ
(SUP) ERP	(SUP) ERP NFC-e - vBC informado indevidamente
(SUP) ERP	(SUP) ERP NFC-e - Config de série PDV
(SUP) ERP	(SUP) ERP NFC-e - Caixa sem serie
(SUP) ERP	(SUP) ERP NFC-e - Solicitação de URL de homologação para PE
(SUP) ERP	(SUP) ERP NFC-e - Configuração
(SUP) ERP	(SUP) ERP Geren. de NFC-e - Outro
(SUP) ERP	(SUP) ERP Geren. de NFC-e -elemento 'pag' não está completo
(SUP) ERP	(SUP) ERP Geren. de NFC-e - Outro
(SUP) ERP	(SUP) ERP Geren. de NFC-e O valor do elemento 'xLgr' não é válido
(SUP) ERP	(SUP) ERP Geren. de NFC-e - elemento 'vBC'. Era esperado um dos 'modBC'
(SUP) ERP	(SUP) ERP Geren. de NFC-e - O valor do elemento 'infCpl' não é válido
(SUP) ERP	(SUP) ERP CTe - Outro
(SUP) ERP	(SUP) ERP MD-e - Forbbiden
(SUP) ERP	(SUP) ERP MD-e - Pesquisa de nota na SEFAZ - Sem retorno apresentado
(SUP) ERP	(SUP) ERP MD-e - Configuração
(SUP) ERP	(SUP) ERP MD-e - Outro
(SUP) ERP	(SUP) ERP MDFe - Outro
(SUP) ERP	(SUP) ERP MDFe - Configuração
(SUP) ERP	(SUP) ERP Sintegra - Outro
(SUP) ERP	(SUP) ERP Sintegra - Analise de arquivo
(SUP) ERP	(SUP) ERP SPED - Outro
(SUP) ERP	(SUP) ERP SPED - Analise de arquivo
(SUP) ERP	(SUP) ERP Farma - Outro
(SUP) ERP	(SUP) ERP SNGPC - Outro
(SUP) ERP	(SUP) ERP SNGPC - Funcionalidade
(SUP) ERP	(SUP) ERP F. Popular - Configuração
(SUP) ERP	(SUP) ERP F. Popular - Outro
(SUP) ERP	(SUP) ERP SNGPC - Validar estoque SNGPC - Funcionalidade
(SUP) ERP	(SUP) ERP SNGPC - Análise de relatório
(SUP) ERP	(SUP) ERP F. Popular - Cadastrar máquina no portal
(SUP) ERP	(SUP) ERP F. Popular - Login/senha não são válidos
(SUP) ERP	(SUP) ERP F. Popular - Homologação
(SUP) ERP	(SUP) ERP PBM - Config - Portal da drogaria
(SUP) ERP	(SUP) ERP F. Popular - PBM - Outro
(SUP) ERP	(SUP) ERP PBM -  Config- Funcional card
(SUP) ERP	(SUP) ERP Farma - Atualização de preço LC
(SUP) ERP	(SUP) ERP Pharmacos - Como utilizar
(SUP) ERP	(SUP) ERP Cad. Produto - Outro
(SUP) ERP	(SUP) ERP Cad. Produto - Produto já cadastrado (inativo)
(SUP) ERP	(SUP) ERP Cad. Produto - Unknown column 'g.id_cest' in 'on clause'
(SUP) ERP	(SUP) ERP Cad. Produto - Tabela de preço - Funcionalidade
(SUP) ERP	(SUP) ERP Cad. Produto -  Null null ao salvar o produto após atualização (G. trib.)
(SUP) ERP	(SUP) ERP Cad. Produto -  Null null fornecedor padrão inativo
(SUP) ERP	(SUP) ERP Cad. Produto - Ref. Cruzada - Funcionalidade
(SUP) ERP	(SUP) ERP Cad. Produto - Rel. classificação fiscal - Funcionalidade
(SUP) ERP	(SUP) ERP Cad. Produto -  Código de balança fora do padrão
(SUP) ERP	(SUP) ERP Cad. Produto -  Null null ao salvar o produto vindo de migração/imp. de tabela (G. trib.)
(SUP) ERP	(SUP) ERP Cad. Produto - Caracteres especiais
(SUP) ERP	(SUP) ERP Cad. Produto -   Cosmos - 429 Limite de requests excedido
(SUP) ERP	(SUP) ERP Cad. Produto -  Data too long 'comb. cprodanp'
(SUP) ERP	(SUP) ERP Cad. Serviços - Outro
(SUP) ERP	(SUP) ERP Cad. Produto -  Preço de venda - Arredondamento
(SUP) ERP	(SUP) ERP Cad. Cliente - Outro
(SUP) ERP	(SUP) ERP Cadastros - outro
(SUP) ERP	(SUP) ERP Cad. Caixa - Outro
(SUP) ERP	(SUP) ERP Cad. Produto - Gtin inválido
(SUP) ERP	(SUP) ERP Cad. Cliente - Alterar o tipo documento
(SUP) ERP	(SUP) ERP Cad. Empresa - Null Null - Grupo empresa não selecionado
(SUP) ERP	(SUP) ERP Cad. Usuários - Outro
(SUP) ERP	(SUP) ERP Cad. Empresa - Outro
(SUP) ERP	(SUP) ERP Cad. Produto -  Null null subcategoria padrão inativa
(SUP) ERP	(SUP) ERP Cad - Null Null - Tabela grupoempresa não existia
(SUP) ERP	(SUP) ERP Cad. G .tributação - Outro (coloque na descrição)
(SUP) ERP	(SUP) ERP Cad. Produto -  Unidade de atacado/qtd mínima - Funcionalidade
(SUP) ERP	(SUP) ERP Cad. Produto - Retorno - GTIN já utilizado
(SUP) ERP	(SUP) ERP Cad. Produto - Got error 28 from storage engine - Memória cheia
(SUP) ERP	(SUP) ERP Configuração - outro
(SUP) ERP	(SUP) ERP - Parâmetros  - outro
(SUP) ERP	(SUP) ERP Importar/Exportar Tabela - Data too long
(SUP) ERP	(SUP) ERP Imendes - Outro
(SUP) ERP	(SUP) ERP Imendes - Imendes - 200 null null
(SUP) ERP	(SUP) ERP Imendes - 429 Too many request
(SUP) ERP	(SUP) ERP Imendes - Configuração
(SUP) ERP	(SUP) ERP Imendes - Instabilidade
(SUP) ERP	(SUP) ERP Imendes - Bug visual na UF na tela de processamento
(SUP) ERP	(SUP) ERP Imendes - Atualização do LC_IMENDES
(SUP) ERP	(SUP) ERP Shipay - Configuração
(SUP) ERP	(SUP) ERP Imendes - Instabilidade
(SUP) ERP	(SUP) ERP Shipay -  Atualização do LC_SHIPAY
(SUP) ERP	(SUP) ERP Shipay - Erro para Listar  carteiras
(SUP) ERP	(SUP) ERP Shipay - Instabilidade no banco
(SUP) ERP	(SUP) ERP Cosmos - Limite excedido
(SUP) ERP	(SUP) ERP F . vendas - Token não encontrado
(SUP) ERP	(SUP) ERP Força de Vendas - outro
(SUP) ERP	(SUP) ERP Imendes - Null Null - Dados do grupo de trib.
(SUP) ERP	(SUP) ERP Imendes - Analise de tributação
(SUP) ERP	(SUP) ERP relatórios - outro
(SUP) ERP	(SUP) ERP Dashboard - Lucro negativo
(SUP) ERP	(SUP) ERP Outro -
(SUP) ERP	(SUP) ERP B.I. Analise dos gráficos
(SUP) ERP	(SUP) ERP - Registro mensal offline
(SUP) ERP	(SUP) ERP desk - Enviar XML p contabilidade
(SUP) ERP	(SUP) ERP desk - Entrada - outra
(SUP) ERP	(SUP) ERP desk - Primeira instalação
(SUP) ERP	(SUP) ERP - Troca de servidor
(SUP) ERP	(SUP) ERP - Vendas duplicadas
(SUP) ERP	(SUP) ERP - PDV -outro
(SUP) ERP	(SUP) ERP -Convênio - outro
(SUP) ERP - Rejeições	(SUP ) PDV - Outra - Rejeição- (Coloque na descrição)
(SUP) ERP - Rejeições	(SUP) PDV - Rejeição - outra (Descreva)
(SUP) ERP - Rejeições	(SUP) Emissor NF-e - Rejeição - outra (Descreva)
(SUP) ERP - Rejeições	(SUP) MD-e - Rejeição - outra (Descreva)
(SUP) ERP - Rejeições	(SUP) MDF-e - Rejeição - outra (Descreva)
(SUP) ERP - Rejeições	(SUP) Gerenciador NFC-e - Rejeição - outra (Descreva)
(SUP) ERP - Rejeições	(SUP) CT-e - Rejeição - outra (Descreva)
(SUP) ERP - Rejeições	(SUP) T. Faturamento - Rejeição - outra (Descreva)
(SUP) ERP Desk - Ct-e- Rejeições	(SUP) ERP Desk Ct-e - Rej. outra
(SUP) ERP Desk - Gerenciador NFC-e- Rejeições	(SUP) ERP Desk Geren.nfce - Rej. Outra (Coloque na descrição)
(SUP) ERP Desk - Gerenciador NFC-e- Rejeições	(SUP) ERP Desk Geren.nfce - Rej. 539 Duplicidade com diferença na chave de acesso
(SUP) ERP Desk - Gerenciador NFC-e- Rejeições	(SUP) ERP Desk Geren.nfce - Rej. 205 NFC-e denegada
(SUP) ERP Desk - Gerenciador NFC-e- Rejeições	(SUP) ERP Desk Geren.nfce - Rej. 213: CNPJ-Base do Autor difere do CNPJ-Base do Certificado Digital
(SUP) ERP Desk - Gerenciador NFC-e- Rejeições	(SUP) ERP Desk Geren.nfce - Rej. 383: Item com CSOSN indevido
(SUP) ERP Desk - Gerenciador NFC-e- Rejeições	(SUP) ERP Desk Geren.nfce - Rej. 537: Total do Desconto difere do somatório dos itens
(SUP) ERP Desk - Gerenciador NFC-e- Rejeições	(SUP) ERP Desk Geren.nfce - Rej. 865: Total dos pagamentos menor que o valor total da nota Pendente
(SUP) ERP Desk - Gerenciador NFC-e- Rejeições	(SUP) ERP Desk Geren.nfce - Rej. 611: GTIN (cEAN) inválido
(SUP) ERP Desk - Gerenciador NFC-e- Rejeições	(SUP) ERP Desk Geren.nfce - Rej. 866: Ausência de troco quando o valor dos pagamentos informados for maior que o total da nota
(SUP) ERP Desk - Gerenciador NFC-e- Rejeições	(SUP) ERP Desk Geren.nfce - Rej. 391 – não informado dados do cartão de credito
(SUP) ERP Desk - Gerenciador NFC-e- Rejeições	(SUP) ERP Desk Geren.nfce - Rej. 297: Assinatura difere do calculado
(SUP) ERP Desk - Gerenciador NFC-e- Rejeições	(SUP) ERP Desk Geren.nfce - Rej. consumo indevido
(SUP) ERP Desk - Gerenciador NFC-e- Rejeições	(SUP) ERP Desk Geren.nfce - Rej. NCM Inválido
(SUP) ERP Desk - Gerenciador NFC-e- Rejeições	(SUP) ERP Desk Geren.nfce - Rej. Instabilidade na SEFAZ
(SUP) ERP Desk - Gerenciador NFC-e- Rejeições	(SUP) ERP Desk Geren.nfce - Rej. 725: NFC-e com CFOP inválido
(SUP) ERP Desk - Gerenciador NFC-e- Rejeições	(SUP) ERP Desk Geren.nfce - Rej. 237: CPF do destinatário inválido
(SUP) ERP Desk - Gerenciador NFC-e- Rejeições	(SUP) ERP Desk Geren.nfce - Rej. 629: Valor do Produto difere do produto Valor Unitário de Comercialização e Quantidade Comercial
(SUP) ERP Desk - Gerenciador NFC-e- Rejeições	(SUP) ERP Desk Geren.nfce - Rej. 854: Unidade Tributável incompatível com produto informado
(SUP) ERP Desk - Gerenciador NFC-e- Rejeições	(SUP) ERP Desk Geren.nfce - Rej. 610: Total da NF difere do somatório dos Valores compõe o valor Total da NF
(SUP) ERP Desk - Gerenciador NFC-e- Rejeições	(SUP) ERP Desk Geren.nfce - Rej. 531: Total da BC ICMS difere do somatório dos itens
(SUP) ERP Desk - MD-e- Rejeições	(SUP) ERP Desk MD-e - Rej. Outra (Coloque na descrição)
(SUP) ERP Desk - MD-e- Rejeições	(SUP) ERP Desk MD-e - Rej. 137 - Nenhum documento localizado
(SUP) ERP Desk - MD-e- Rejeições	(SUP) ERP Desk MD-e - Rej. 589-Numero do NSU informado superior ao maior NSU da base de dados do Ambiente Nacional
(SUP) ERP Desk - MD-e- Rejeições	(SUP) ERP Desk MD-e - Rej. 656: Consumo Indevido
(SUP) ERP Desk - MD-e- Rejeições	(SUP) ERP Desk MD-e - Rej. 573: Duplicidade de Evento
(SUP) ERP Desk - MD-e- Rejeições	(SUP) ERP Desk MD-e - Rej. 596: Evento apresentado após o prazo permitido para o evento: [10 dias]
(SUP) ERP Desk - MD-e- Rejeições	(SUP) ERP Desk MD-e - Rej. 296: Certificado Assinatura erro no acesso a LCR
(SUP) ERP Desk - MD-e- Rejeições	(SUP) ERP Desk MD-e - Rej. 2238: Falha ao gerar o numero de protocolo
(SUP) ERP Desk - MDF-e- Rejeições	(SUP) ERP Desk - MDF-e- Rej. Outra (Coloque na descrição)
(SUP) ERP Desk - MDF-e- Rejeições	(SUP) ERP Desk - MDF-e- Rej. 580: Falha no Schema XML específico para o modal
(SUP) ERP Desk - MDF-e- Rejeições	(SUP) ERP Desk - MDF-e- Rej. 611: Existe MDF-e não encerrado para esta placa, tipo de emitente e UF descarregamento
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV -Rej. 205: NF-e está denegada na base de dados da SEFAZ
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV -Rej. 999: Instabilidade na SEFAZ, nota será emitida em contingência
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rejeição Outra(descreva)
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rej. 204: Duplicidade de NF-e
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rej. 539: Duplicidade de NF-e, com diferença na Chave de Acesso
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rej. 241: Um número da faixa já foi utilizado
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rej. 391 não informado dados do cartão de credito
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rej. 464: Código de Hash no QR-Code difere do calculado
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rej. 590: Informado CST para emissor do Simples Nacional
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rej. 604: Total do vOutro difere do somatório do
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rej. 383: Item com CSOSN indevido
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rej. 395: Endereço do site da UF da Consulta via QR-Code diverge do previsto
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rej. 928: Informado código de benefício fiscal para CST sem benefício fiscal
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rej. 462: Código Identificador do CSC no QR-Code não cadastrado na SEFAZ
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rej. 301: Uso Denegado: Irregularidade fiscal do emitente
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rej. 410: UF informada no campo CUF não é atendida pelo Web Service
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rej. 704: NFC-e com Data-Hora de emissão atrasada
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rej. 373: Descrição do primeiro item diferente de NOTA FISCAL EMITIDA EM AMBIENTE DE HOMOLOGACAO - SEM VALOR FISCAL
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rej. 108: Serviço Paralisado Momentaneamente (curto prazo)
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rej. 781: Emissor não habilitado para emissão da NFC-e
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rej. 660: CFOP de Combustível e não informado grupo de combustível
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rej. 213 : CNPJ-Base do Emitente difere do CNPJ-Base do Certificado Digital
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rej. 960: Obrigatório o preenchimento de Grupo de Tributação do ICMS monofásica sobre combustíveis
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rej. 778: Informado NCM inexistente
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rej. 959: NF-e não pode ter preenchimento de Grupo de Tributação do ICMS monofásica sobre combustíveis
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rej. 703: Data-Hora de Emissão posterior ao horário de recebimento
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rej. 378: Grupo de Combustível sem a informação de Encerrante
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rej. 463: Código Identificador do CSC no QR-Code foi revogado pela empresa
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rej. 218: NF-e já está cancelada na base de dados da Sefaz
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rej. 854: Unidade Tributável (tag: uTrib) incompatível com produto informado
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rej. 578: A data do evento não pode ser maior que a data do processamento
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rej. 591: Informado CSOSN para emissor que não é do Simples Nacional (CRT diferente de 1)
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rej. 502: Erro na Chave de Acesso - Campo Id não corresponde à concatenação dos campos correspondentes.
(SUP) ERP Desk - PDV- Rejeições	(SUP) ERP Desk PDV - Rej. 481: Código Regime Tributário do emitente diverge do cadastro na SEFAZ
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk - Emis. NF-e -Rejeição. outra (descreva)
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk - Emis. NF-e - Rej. 203: Emitente não habilitado para emissão de NF-e
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk - Emis. NF-e - Rej. 204: Duplicidade de NF-e
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 203: Emitente não habilitado para emissão de NF-e
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 206: NF-e já está inutilizada na Base de dad
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. outra (Descreva)
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 204: Duplicidade de NF-e
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 207: CNPJ do emitente inválido
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 221: Confirmado o recebimento da NF-e pelo destinatário
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 539: Duplicidade de NF-e, com diferença na Chave de Acesso
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 600: CSOSN incompatível na operação com Não Contribuinte
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 694: Não informado o grupo de ICMS para a UF de destino
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 798: Valor total do ICMS relativo Fundo de Combate à Pobreza (FCP) da UF de destino difere do somatório do valor dos itens
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 699: Percentual do ICMS Interestadual para a UF de destino difere do previsto para o ano da Data de Emissão [nItem:999]
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 696: Operação com não contribuinte deve indicar operação com consumidor final
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 695: Informado indevidamente o grupo de ICMS para a UF de destino
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 795: Total do ICMS desonerado difere do somatório dos itens
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 793: Valor do ICMS relativo ao Fundo de Combate à Pobreza na UF de destino difere do calculado
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 817: Unidade Tributável incompatível com o NCM informado na operação com Comércio Exterio
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 817: Unidade Tributável incompatível com o NCM informado na operação com Comércio Exterior
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 883: GTIN (cEAN) sem informação
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 302: Uso Denegado: Irregularidade fiscal do destinatário
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 537: Total do Desconto difere do somatório dos itens
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 733: CFOP de operação interna e idDest diferente de 1
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 232: IE do destinatário não informada
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 720: Na operação com Exterior deve ser informada tag idEstrangeiro
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 855: Somatório percentuais de GLP derivado do petróleo, GLGNn e GLGNi diferente de 100
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 904: Informado indevidamente campo valor de pagamento
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 629: Valor do Produto difere do produto Valor Unitário de Comercialização e Quantidade Comercial
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 521: Operação Interna e UF do emitente difere da UF do destinatário/remetente contribuinte do ICMS
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej.  591: Informado CSOSN para emissor que não é do Simples Nacional (CRT diferente de 1)
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 291: Certificado Assinatura Data Validade
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 501: Prazo de cancelamento superior ao previsto na Legislação
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 854: Unidade Tributável (tag: uTrib) incompatível com produto informado
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 678: NF referenciada com UF diferente da NF-e complementar
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 926: Operação com Exterior e país de destino igual a Brasil
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 997: série já vinculada a outra inscrição estadual deste CNPJ
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 296: Certificado Assinatura erro no acesso a LCR
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 249: UF da Chave de Acesso diverge da UF autorizadora
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 506 - Data de Saída menor que a Data de Emissão
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 693: Alíquota de ICMS superior a definida para a operação interestadual
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 799: Valor total do ICMS Interestadual da UF de destino difere do somatório dos itens
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 590: Informado CST para emissor do Simples Nacional (CRT=1)
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 868: Grupos Veículo Transporte e Reboque não devem ser informados
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 960: Obrigatório o preenchimento de Grupo de Tributação do ICMS monofásica sobre combustíveis
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 375: NF-e com lançamento relativo a Cupom Fiscal referencia uma NFC-e
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 531: NF-e - Total da BC ICMS difere do somatório dos itens
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 508: CST incompatível na operação com Não Contribuinte
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 511: Não é de Operação com Exterior e Código País destinatário difere de 1058 (Brasil)
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 805: A SEFAZ do destinatário não permite Contribuinte Isento de Inscrição Estadual
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 324: CNPJ do destinatário já autorizado para download
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 486: Não informado o Grupo de Autorização para UF que exige a identificação do Escritório de Contabilidade na Nota Fiscal
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 545: NF-e de devolução com valor total superior a NF-e devolvida
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 362: Venda de combustível sem informação do Transportador
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 863: Total do IPI devolvido difere do somatório dos itens
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 528: Valor do ICMS difere do produto BC e Alíquota
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 848: Transporte próprio por conta do Destinatário e CNPJ Base ou CPF do Transportador difere do CNPJ Base ou CPF do Destinatário
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 354: Informado grupo de devolução de tributos para NF-e que não tem finalidade de devolução de mercadoria
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 105 - Lote em processamento
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 698: Alíquota interestadual do ICMS incompatível com as UF envolvidas na operação
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 732: CFOP de operação interestadual e idDest diferente de 2
(SUP) ERP Desk - Rejeições - Emissor NF-e	(SUP) ERP Desk -NF-e - Rej. 208: CNPJ do destinatário inválido
(SUP) ERP Desk -T.faturamento- Rejeições	(SUP) ERP Desk Fatur. - Rej. Outra (Coloque na descrição)
(SUP) ERP Desk -T.faturamento- Rejeições	(SUP) ERP Desk Fatur. - Rej. 778: Informado NCM inexistente
(SUP) ERP Desk -T.faturamento- Rejeições	(SUP) ERP Desk Fatur. - Rej. 629: Valor do Produto difere do produto Valor Unitário de Comercialização e Quantidade Comercial
(SUP) Inatividade	(SUP) Inatividade da revenda
(SUP) LC Academy	(SUP) LC Academy - cadastro
(SUP) LC Auto Backup	(SUP) LC Auto Backup - outro
